agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_deprov_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect2m_rbd|nalu_mate2m_rbd|prom_lect2m_rbd|prom_mate2m_rbd|dif_lect2m_rbd|dif_mate2m_rbd|difgru_lect2m_rbd|difgru_mate2m_rbd|sigdif_lect2m_rbd|sigdif_mate2m_rbd|siggru_lect2m_rbd|siggru_mate2m_rbd|marca_lect2m_rbd|marca_mate2m_rbd|marcadif_lect2m_rbd|marcadif_mate2m_rbd|palu_eda_ins_lect2m_rbd|palu_eda_ele_lect2m_rbd|palu_eda_ade_lect2m_rbd|palu_eda_ins_mate2m_rbd|palu_eda_ele_mate2m_rbd|palu_eda_ade_mate2m_rbd|noaplica|fecha_bbdd|codigo_bbdd
2022|2m|5656|1|LICEO POLITECNICO PUEBLO NUEVO|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|2|1|149|157|229|230|-5|-8|-5|-8|0|0|-1|-1|||||67.1|21.5|11.4|71.3|21|7.6|0|20231017|final20231017v2
2022|2m|5658|8|COMPLEJO EDUCACIONAL JAVIERA CARRERA|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|2|1|32|30|241|228|18|9|7|-10|1|0|0|0|2|2|3|3|56.3|31.3|12.5|73.3|26.7|0|0|20231017|final20231017v2
2022|2m|5659|6|ESCUELA Y LICEO MONTESSORI|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|4|1|88|74|262|283|-15|-9|0|5|-1|0|0|0|||||38.6|36.4|25|33.8|37.8|28.4|0|20231017|final20231017v2
2022|2m|5661|8|LICEO ADVENTISTA DE TEMUCO|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|3|1|61|67|247|244|-24|-51|-4|-14|-1|-1|0|-1|||||47.5|34.4|18|58.2|31.3|10.4|0|20231017|final20231017v2
2022|2m|5662|6|LICEO ESPANA DE TEMUCO|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|2|1|55|52|224|231|-10|-17|-10|-7|0|-1|-1|0|||||67.3|23.6|9.1|69.2|26.9|3.8|0|20231017|final20231017v2
2022|2m|5663|4|LICEO BICENTENARIO DE EXCELENCIA  PADRE OSCAR MOSER|9|DE LA ARAUCANÍA|91|CAUTÍN|9112|PADRE LAS CASAS|93|Cautin S|3|2|1|1|261|263|229|249|-23|-12|7|25|-1|-1|1|1|||||65.9|27.2|6.9|53.2|36.5|10.3|0|20231017|final20231017v2
2022|2m|5666|9|LICEO CAMILO HENRIQUEZ DE TEMUCO|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|3|1|370|370|254|279|-10|-15|3|21|-1|-1|0|1|||||43.2|35.1|21.6|33|39.2|27.8|0|20231017|final20231017v2
2022|2m|5669|3|COLEGIO MADRE ADMIRABLE DE SCHOENSTATT|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|3|1|30|27|277|284|1|14|26|26|0|0|1|1|||||30|40|30|37|33.3|29.6|0|20231017|final20231017v2
2022|2m|567|3|COLEGIO SAN FRANCISCO COLL|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|3|2|3|1|70|71|260|298|0|10|9|40|0|0|1|1|||||35.7|42.9|21.4|23.9|33.8|42.3|0|20231017|final20231017v2
2022|2m|5670|7|COLEGIO SAN FRANCISCO|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|4|1|67|70|263|255|-4|-5|1|-23|0|0|0|-1|||||37.3|38.8|23.9|52.9|32.9|14.3|0|20231017|final20231017v2
